Planet_Name,Planet_Radius,Planet_Mass,Orbital_Period,Semi_Major_Axis,Equilibrium_Temp,Planet_Density,Stellar_Temp,Stellar_Luminosity,Stellar_Metallicity,Stellar_Flux,Habitability_Score_Index,Stellar_Compatibility_Index,Orbital_Stability_Factor,StarType_A,StarType_F,StarType_G,StarType_K,StarType_M,Target_Habitable
GJ 9827 d,1.98,3.02,6.20183,0.053,675.0,1.42,4236.0,0.09900109542601707,-0.29,35.23170655730145,0.28087756044024415,0.5895522078449806,0.285628015017007,False,False,False,True,False,1
Gliese 12 b,0.958,3.87,12.761408,0.0668,314.6,1.42,3324.375,0.0072799768788612725,-0.32,1.6310968890002044,0.8925305890824181,0.2624121207096917,0.6111884281090767,False,False,False,False,True,1
HAT-P-1 b,14.784671,166.86075,4.46529976,0.05561,1322.0,0.282,5980.0,0.9413067829119811,0.13,304.2881113787906,0.06671708415980138,0.9909734307508985,0.060559848891124514,False,False,False,True,False,0
HAT-P-12 b,10.749,67.059,3.2130598,0.0384,963.0,0.3192,4650.0,0.2098939883623524,-0.29,142.24700341724665,0.10304958295329092,0.7537066839412626,0.1336366898734333,False,False,False,True,False,1
HAT-P-18 b,11.153,62.61,5.508023,0.0559,852.0,0.25,4803.0,0.26977394324449205,0.1,86.30529150667893,0.12396084259252922,0.8095716486678869,0.11400198272226326,False,False,False,True,False,1
HAT-P-19 b,11.29865255,88.03846874,4.00878322,0.04599,981.2,0.335,4962.0,0.3270016921283103,0.166,154.53181197078044,0.09827096387118328,0.862458713179293,0.09200294357491985,False,False,False,True,False,0
HAT-P-20 b,9.718,733.625075,2.875317,0.0361,970.0,6.840423374999999,4595.0,0.19010782799233,0.35,145.76473726802433,0.105201545453308,0.7327156669498849,0.1174868996298955,False,False,False,True,False,1
HAT-P-23 b,15.334,664.237,1.212884,0.0232,2056.0,1.01,5905.0,1.5812480392703832,0.15,2932.3641407729087,0.027375083078140554,0.9964221934349111,0.04976280508498909,False,False,True,False,False,0
HAT-P-25 b,12.722215,180.84527,3.65281514,0.0466,1182.0,0.483,5519.0,0.7050014334091791,0.294,324.50262980501293,0.07053350618091811,0.9852036687407626,0.005032785051154177,False,False,False,True,False,0
HAT-P-28 b,13.585,198.953,3.257215,0.0434,1384.0,0.44,5680.0,1.1297959146727978,0.12,599.5011645544837,0.05398527335147832,0.9978680536106924,0.01181030371321391,False,False,True,False,False,0
HAT-P-32 b,22.19382,216.1244,2.1500082,0.03397,1835.7,0.108,6001.0,1.9784731875085524,-0.16,1713.0217893164631,0.030106959307770072,0.9890099478773903,0.05217043686449007,False,False,False,True,False,0
HAT-P-36 b,14.313893,587.413406,1.32734683,0.0241,1780.97,1.175,5620.0,0.9413067829119811,0.07,1617.8937847613158,0.035547421657577606,0.9944678037155036,0.023531779718259573,False,False,False,True,False,0
HAT-P-37 b,13.204,371.528,2.797436,0.0379,1271.0,0.89,5500.0,0.6194410750767815,0.03,430.9425112367254,0.06222046450861343,0.9829724140774105,0.031858353073377234,False,False,False,True,False,0
HAT-P-38 b,9.247,84.857,4.640382,0.0523,1082.0,0.59,5330.0,0.6194410750767815,0.06,226.37990676309215,0.089702461888441,0.9563791072006902,0.05207902003724558,False,False,False,True,False,0
HAT-P-39 b,17.609,190.372,3.54387,0.0509,1752.0,0.19,6430.0,1.9784731875085524,0.19,763.3557967245099,0.042981137270746,0.9098572539602867,0.14507016184985602,False,False,False,True,False,0
HAT-P-4 b,14.28,213.255,3.056536,0.04438,1686.0,0.403,5860.0,1.9784731875085524,0.07,1004.0032730942924,0.042359240570128784,0.9985068935719851,0.09506580750942309,False,False,False,True,False,0
HAT-P-42 b,14.348,331.801,4.641878,0.0575,1428.0,0.61,5743.0,1.9784731875085524,0.27,598.2230516315828,0.05265524399837059,0.999727814826885,0.07039437097522158,False,False,False,True,False,0
HAT-P-44 b,13.922,111.871,4.301219,0.0507,1108.0,0.23,5295.0,0.6397348354826481,0.33,248.77982628073528,0.07622034096096811,0.9494788726539978,0.026779552040923246,False,False,False,True,False,0
HAT-P-45 b,15.984,283.492,3.128992,0.0452,1652.0,0.38,6330.0,1.9784731875085524,0.07,967.922930817671,0.04163422739025835,0.934529579342974,0.09858671760443245,False,False,False,True,False,0
HAT-P-46 b,14.392,156.684,4.463129,0.0577,1458.0,0.28,6120.0,1.9784731875085524,0.3,594.0843552689263,0.052422961214224205,0.974342884320645,0.108785002010973,False,False,False,True,False,0
HAT-P-50 b,14.437192,429.0705,3.1220109,0.0453,1862.0,0.78,6280.0,1.9784731875085524,-0.18,963.6563363070067,0.041594351981704046,0.9455382954115379,0.1033492121814834,False,False,False,True,False,0
HAT-P-51 b,13.50682174,97.57332095,4.21802091,0.05042,1168.2,0.218,5453.0,0.7900052910832215,0.302,310.63723738676623,0.07047146110487645,0.9768011076560966,0.017097702924997283,False,False,False,True,False,0
HAT-P-52 b,11.309881,259.98494,2.7535953,0.03694,1218.0,0.98,5131.0,0.4959980853140723,0.28,363.2185899756498,0.06987908020090694,0.9111714294319927,0.051172496216293314,False,False,False,True,False,0
HAT-P-53 b,14.773462,471.65972,1.9616241,0.03159,1778.0,0.8,5956.0,1.6499850149526085,0.0,1651.7555317070455,0.03497347916398796,0.9929838400972322,0.03735846058842149,False,False,False,True,False,0
HAT-P-54 b,10.581296,241.5508,3.799847,0.04117,818.0,1.118,4390.0,0.12540071132481292,-0.127,73.94045452414424,0.1338909699584518,0.6517326228036662,0.18842397894815793,False,False,False,True,False,1
HAT-P-55 b,14.84069045,189.42573057,3.5852313,0.04628,1367.0,0.318,5804.0,1.2489929874293308,0.003,582.8684922901002,0.05319430142229454,0.9998497890605709,0.012201287366845268,False,False,False,True,False,0
HAT-P-58 b,14.93036229,118.2321674,4.0138379,0.04994,1622.0,0.194,6078.0,1.9784731875085524,-0.224,792.9740812833106,0.04568837479317954,0.9801986733067553,0.013297971840422444,False,False,False,True,False,0
HAT-P-59 b,12.58768533,489.45574678,4.1419771,0.05064,1277.8,1.347,5678.0,1.132009313541981,0.217,441.2587033049152,0.06256163723810504,0.9977802450856064,0.0042135477768130754,False,False,False,True,False,0
HAT-P-60 b,18.28184752,182.43350562,4.7947813,0.06277,1772.0,0.164,6212.0,1.9784731875085524,0.037,502.01385199156095,0.04867383383260421,0.9590070153118669,0.15613883210943302,False,False,False,True,False,0
HAT-P-61 b,10.07687365,335.9446262,1.90231289,0.0301,1505.0,1.8,5587.0,0.7670081876935099,0.194,845.6446871517513,0.05155386919377727,0.9919258833148381,0.0022339006558558575,False,False,False,True,False,0
HAT-P-62 b,12.02723629,241.86741773,2.6453235,0.03772,1512.0,0.77,5629.0,1.2319979920447468,0.414,865.2896309229924,0.04840588756041662,0.9950785944405487,0.009754077410595282,False,False,False,True,False,0
HAT-P-63 b,12.5428494,195.1466419,3.377728,0.04294,1237.0,0.54,5400.0,0.7140029399278446,0.251,387.0262714562062,0.06600048857552318,0.9687468014975299,0.03308066219340306,False,False,False,True,False,0
HAT-P-64 b,19.08889413,184.34047606,4.007232,0.05387,1766.0,0.144,6457.0,1.9784731875085524,-0.113,681.5325287323342,0.0434111093097208,0.9026200704671432,0.11270845433807185,False,False,False,True,False,0
HAT-P-65 b,18.05766791,176.07693748,2.60544751,0.04042,1818.0,0.164,5872.0,1.9784731875085524,0.208,1210.240854656669,0.036188835966815075,0.9980383709585089,0.11127978235516182,False,False,False,True,False,0
HAT-P-66 b,17.82231,248.86089,2.972086,0.04363,1896.0,0.242,6002.0,1.9784731875085524,0.035,1038.7993194228873,0.037774825197969375,0.9889117111017418,0.09710120563597732,False,False,True,False,False,0
HAT-P-68 b,12.016048,230.10892,2.29840551,0.02996,1027.8,0.727,4508.0,0.16629913873131472,-0.059,185.0643697176977,0.08975322826778288,0.6987779731229712,0.16302235893360362,False,False,False,True,False,0
HAT-P-9 b,15.614137,238.05467,3.92281072,0.05287,1540.0,0.342,6350.0,1.9784731875085524,0.12,707.5484868640966,0.04748462074662213,0.929872726379436,0.10679366575012723,False,False,False,True,False,0
HATS-1 b,14.594,589.55,3.446459,0.0444,1359.0,1.03,5870.0,1.0999931989351934,-0.06,557.7040697110027,0.05435212190719663,0.9981208788741216,0.00733379698428287,False,False,False,True,False,0
HATS-10 b,10.861521,167.17858,3.312846,0.04491,1407.0,0.7,5880.0,1.309181922999407,0.15,648.7817373840795,0.056079176776990335,0.9976906706134507,0.04132817498291476,False,False,False,True,False,0
HATS-13 b,13.585308,172.58169,3.0440499,0.04057,1244.0,0.377,5523.0,0.9413067829119811,0.05,571.5541631023863,0.05647165417606368,0.9856539001953453,0.01686047534196896,False,False,False,True,False,0
HATS-14 b,11.646151,340.39593,2.7667641,0.03815,1276.0,1.191,5346.0,0.9413067829119811,0.33,646.314364761586,0.05645781150152979,0.9593761974989303,0.014031587191814292,False,False,False,True,False,0
HATS-15 b,12.385945,689.6911,1.74748753,0.02712,1505.0,1.97,5311.0,0.6249999750398698,0.0,848.6147009941554,0.04834412566735613,0.9526914238781504,0.057104289825862506,False,False,True,False,False,0
HATS-16 b,14.5717,733.625075,2.686502,0.03744,1592.0,1.86,5738.0,1.4900128025794255,-0.1,1062.2056522110693,0.04198786319761501,0.9996445076468301,0.012943445909519792,False,False,True,False,False,0
HATS-17 b,8.709393,425.25654,16.254611,0.1308,814.0,3.5,5846.0,1.239995188524827,0.3,72.47348211445869,0.1431065106412204,0.9989729721988732,0.05302531688802966,False,False,True,False,False,1
HATS-18 b,14.896761,629.144485,0.83784,0.0174,2069.48,1.1169,5600.0,0.9413067829119811,0.07,3098.8503519620135,0.027068344480511746,0.9929838400972322,0.0004252442001717531,False,False,False,True,False,0
HATS-2 b,12.57647635,435.42491759,1.35413379,0.02317,1550.0,1.20684,5599.0,0.9413067829119811,0.07,1750.1323938972098,0.037498190069545884,0.9929050665039783,0.040282736950827,False,False,False,True,False,0
HATS-22 b,10.682177,733.625075,4.7228124,0.05025,858.0,3.89,4803.0,0.22600081224453913,0.0,89.4676249081482,0.12390636852793975,0.8095716486678869,0.11899321158397289,False,False,False,True,False,1
HATS-23 b,20.84874,467.2101,2.1605156,0.03397,1654.0,0.29,5780.0,1.4300130474851702,0.28,1238.1484494281758,0.035255577928976364,0.9999991111115062,0.04805407833307937,False,False,True,False,False,0
HATS-24 b,15.636555,718.2958,1.3484978,0.0238,2166.0,1.03,6125.0,1.5488166189124815,-0.229,2729.480859496125,0.02744322375394689,0.9735972561588443,0.004460141995902891,False,False,False,True,False,0
HATS-25 b,14.12334,194.82979,4.2986432,0.05163,1277.0,0.38,5715.0,1.1700111486105869,0.02,438.7557876720424,0.06049269748657485,0.9991183888476703,0.0027560121993389307,False,False,True,False,False,0
HATS-26 b,19.61575,206.5895,3.3023881,0.04735,1918.0,0.153,6071.0,1.9784731875085524,-0.02,882.0567727290082,0.038568232270726324,0.9811032692830216,0.11227559595655509,False,True,False,False,False,0
HATS-27 b,16.8135,168.4499,4.637038,0.0611,1659.0,0.18,6438.0,1.9784731875085524,0.09,529.8237612529965,0.050019456682350485,0.9077375354868296,0.15003637316613436,False,True,False,False,False,0
HATS-28 b,13.383546,213.58176,3.1810781,0.04131,1253.0,0.48,5498.0,0.6960012186005905,0.01,407.61034030694674,0.06336286980418603,0.9827286671445883,0.031373497871723624,False,False,True,False,False,0
HATS-29 b,14.022459,207.54299,4.6058749,0.05475,1212.0,0.411,5670.0,1.0699906927079144,0.16,356.8345474566278,0.06586519373149803,0.9974113563315034,0.013624204416889472,False,False,True,False,False,0
HATS-3 b,15.48,340.382,3.547851,0.0485,1648.0,0.51,6351.0,1.9784731875085524,-0.157,840.7407574667171,0.04410425793185223,0.929636155528514,0.08168641966337854,False,True,False,False,False,0
HATS-30 b,13.170575,224.38798,3.1743516,0.04354,1414.0,0.543,5943.0,1.2499999625598046,0.06,659.0283847012432,0.05250382508022548,0.9939682643982343,0.03805356618119512,False,False,True,False,False,0
HATS-31 b,18.38276,279.6904,3.37796,0.0478,1823.0,0.243,6050.0,1.9784731875085524,0.0,865.5344151421588,0.04020353758240011,0.983693524889382,0.10506542091426317,False,False,False,True,False,0
HATS-32 b,14.000041,292.4036,2.8126548,0.04024,1437.0,0.58,5700.0,1.139987265569977,0.39,703.5839644078677,0.05018293502764308,0.9986489135402514,0.040273369924198055,False,False,False,True,False,0
HATS-33 b,13.78707,378.85336,2.5495551,0.03727,1429.0,0.79,5659.0,0.9599972743924812,0.29,690.6192378667613,0.05081450062550872,0.9968580573761414,0.025815737753732856,False,False,False,True,False,0
HATS-34 b,16.02887,299.07803,2.1061607,0.03166,1445.0,0.4,5380.0,0.7240023902559726,0.25,721.5810528749454,0.04762889480669342,0.9654114563412377,0.019664417475459033,False,False,False,True,False,0
HATS-35 b,16.409976,388.38826,1.8209993,0.03199,2037.0,0.484,6300.0,1.9784731875085524,0.21,1931.423517480379,0.03088301390449476,0.9412448230150238,0.11554128608811713,False,False,False,True,False,0
HATS-37 A b,6.792654,31.46517,4.3315366,0.04913,1085.0,0.55,5326.0,0.5549961877770312,0.051,229.83522183000335,0.0977105570624601,0.9556143098746492,0.0734934712992005,False,False,False,True,False,0
HATS-38 b,6.882326,23.51942,4.375021,0.05036,1294.0,0.403,5732.0,1.178989670171637,-0.102,464.69430263697876,0.07348074644985127,0.9995298883149205,0.05015198042175023,False,False,False,True,False,0
HATS-39 b,17.59813,200.2329,4.5776348,0.06007,1645.0,0.202,6572.0,1.9784731875085524,0.0,548.1438747724181,0.048868806503622554,0.8692740083257313,0.13911389993759185,False,False,False,True,False,0
HATS-4 b,11.433,420.471,2.516729,0.0362,1315.0,1.55,5403.0,0.6501296903430906,0.43,495.737273792999,0.06151042906151511,0.9692332344763441,0.00035917779983664496,False,False,True,False,False,0
HATS-40 b,17.71022,505.3497,3.2642736,0.04997,2101.0,0.49,6460.0,1.9784731875085524,0.01,792.0226079616514,0.04020690286945837,0.9018014646202186,0.19179848822005124,False,False,False,True,False,0
HATS-41 b,14.90797,733.625075,4.193649,0.0583,1710.0,5.1,6424.0,1.9784731875085524,0.47,581.9227055900492,0.04991377517730708,0.9114332769730114,0.17590613327502472,False,False,False,True,False,0
HATS-42 b,15.6926,597.5204,2.292102,0.03689,1856.0,0.83,6060.0,1.9784731875085524,0.22,1452.7599085909408,0.0353791183795585,0.9824832340150973,0.10311403139330326,False,False,False,True,False,0
HATS-43 b,13.22662,82.95363,4.3888497,0.04944,1003.0,0.191,5099.0,0.4000000079872419,0.05,163.57820444267023,0.09134695193663135,0.9026200704671432,0.07670414112620318,False,False,False,True,False,0
HATS-44 b,11.960003,177.9848,2.7439004,0.03649,1161.0,0.56,5080.0,0.4000000079872419,0.32,300.1830951647498,0.07412979487344114,0.8973874633060982,0.06381488891364731,False,False,False,True,False,0
HATS-45 b,14.414774,222.481,4.1876244,0.05511,1518.0,0.41,6450.0,1.9784731875085524,0.02,651.2179677334989,0.05025102630614634,0.9045189713147219,0.1042318394562354,False,False,False,True,False,0
HATS-46 b,10.121727,54.98459,4.7423729,0.05367,1054.0,0.28,5495.0,0.5890063813507318,-0.06,204.4118474958143,0.09091678712009381,0.9823598855305323,0.03738452032159794,False,False,False,True,False,0
HATS-47 b,12.520453,117.27927,3.9228038,0.04269,852.9,0.331,4512.0,0.15990056562406793,-0.113,87.69189423422513,0.11897432252195224,0.700354950719569,0.1692364568085717,False,False,False,True,False,1
HATS-48 A b,8.9672,77.23269,3.1316666,0.03769,954.6,0.589,4546.0,0.19550145772926666,0.186,137.52831020560552,0.11032649098284324,0.7136988229547214,0.13552322974591807,False,False,False,True,False,1
HATS-49 b,8.574885,112.19399,4.1480467,0.04515,834.8,0.986,4405.0,0.16410053615594372,0.208,80.4602725176818,0.13804909011376543,0.6577584215601021,0.1451947131313323,False,False,False,True,False,1
HATS-5 b,10.223,75.323,4.763387,0.0542,1025.0,0.39,5304.0,0.5395106225151276,0.19,183.59194134535963,0.09461616681278588,0.9512979154849239,0.028480324877538467,False,False,True,False,False,0
HATS-51 b,15.80469,244.09344,3.3488702,0.04639,1553.0,0.34,5758.0,1.9784731875085524,0.07,918.9241477210453,0.04325955562580736,0.9999111150616113,0.07384983587071503,False,False,False,True,False,0
HATS-52 b,15.490838,711.9392,1.36665436,0.02498,1834.0,1.06,6010.0,1.1700111486105869,0.07,1872.0166396862899,0.032758015047600265,0.9881103582002042,0.04368215769473965,False,False,False,True,False,0
HATS-53 b,15.02006,189.10885,3.8537768,0.04753,1312.0,0.303,5644.0,1.1099923866362844,0.07,491.1251469508659,0.056738031677620905,0.996017728136388,0.015547016351896625,False,False,False,True,False,0
HATS-54 b,11.37711541,239.32479047,2.5441765,0.037,1429.0,1.42,5621.0,1.301997049308958,0.37,950.3628097145681,0.04848218558166819,0.9945374188982666,0.018321545449846956,False,False,True,False,False,0
HATS-55 b,14.022459,292.72143,4.2042001,0.05412,1367.0,0.587,6214.0,1.6939867147002385,0.108,578.1575138336493,0.05428946785244316,0.9586362709478092,0.07735259201531493,False,False,False,True,False,0
HATS-56 b,18.920792,191.33366,4.324799,0.06043,1902.0,0.155,6536.0,1.9784731875085524,0.19,541.634189165793,0.04599827392766865,0.8801341949374144,0.1958832779447609,False,False,False,True,False,0
HATS-57 b,12.767051,733.625075,2.350621,0.03493,1413.4,2.65,5587.0,0.8050076361080626,0.268,659.2452754125076,0.053012295192562446,0.9919258833148381,0.012122437500109476,False,False,False,True,False,0
HATS-58 A b,12.273855,327.3649,4.2180896,0.05798,1721.0,0.96,7175.0,1.9784731875085524,0.07,588.3619470671529,0.052727979006797654,0.6481125633196398,0.16376174328102844,False,False,False,True,False,0
HATS-59 b,12.621334,256.17098,5.416081,0.06112,1128.0,0.7,5670.0,0.9900109542601704,0.18,264.94581737614544,0.07658354604950472,0.9974113563315034,0.016287488462601238,False,False,False,True,False,0
