planet_name,host_star_name,habitability_prob
Kepler-1957 b,Kepler-1957,0.2699
Kepler-332 d,Kepler-332,0.2673
Kepler-124 b,Kepler-124,0.2667
HD 222237 b,HD 222237,0.2663
Kepler-332 c,Kepler-332,0.2662
HD 98649 b,HD 98649,0.2643
K2-190 c,K2-190,0.2643
WASP-107 c,WASP-107,0.2639
Kepler-124 d,Kepler-124,0.2639
K2-392 b,K2-392,0.2639
Kepler-1430 b,Kepler-1430,0.2638
Kepler-1190 b,Kepler-1190,0.2638
HD 114729 b,HD 114729,0.2637
TrES-3 b,TrES-3,0.2635
HD 204941 b,HD 204941,0.2627
HD 133131 A c,HD 133131 A,0.2626
K2-81 b,K2-81,0.2623
Kepler-1926 b,Kepler-1926,0.2602
Kepler-67 b,Kepler-67,0.26
Kepler-174 c,Kepler-174,0.26
OGLE-2019-BLG-0960L b,OGLE-2019-BLG-0960L,0.2583
K2-387 b,K2-387,0.2579
EPIC 206024342 c,EPIC 206024342,0.2575
Kepler-660 b,Kepler-660,0.2573
OGLE-2016-BLG-1195L b,OGLE-2016-BLG-1195L,0.2569
Kepler-122 f,Kepler-122,0.2548
Kepler-351 d,Kepler-351,0.2522
Kepler-159 b,Kepler-159,0.2511
Kepler-1848 b,Kepler-1848,0.2505
Kepler-1961 b,Kepler-1961,0.2502
TOI-1244 b,TOI-1244,0.2492
Kepler-1537 b,Kepler-1537,0.2485
Kepler-1178 b,Kepler-1178,0.2483
WASP-107 b,WASP-107,0.2481
KMT-2019-BLG-1806L b,KMT-2019-BLG-1806L,0.248
AU Mic e,AU Mic,0.2478
WASP-43 b,WASP-43,0.2473
Kepler-1922 b,Kepler-1922,0.2472
alf Ari b,alf Ari,0.2465
11 UMi b,11 UMi,0.2454
K2-190 b,K2-190,0.2444
Kepler-1505 b,Kepler-1505,0.244
Kepler-237 b,Kepler-237,0.2439
Kepler-1420 b,Kepler-1420,0.2434
Kepler-1504 b,Kepler-1504,0.2431
Kepler-332 b,Kepler-332,0.2429
K2-205 b,K2-205,0.2424
Kepler-1140 b,Kepler-1140,0.2417
Kepler-1378 b,Kepler-1378,0.2415
K2-366 b,K2-366,0.2403
Kepler-1331 b,Kepler-1331,0.2402
Kepler-309 c,Kepler-309,0.2385
KMT-2018-BLG-0029L b,KMT-2018-BLG-0029L,0.2363
Kepler-1076 b,Kepler-1076,0.236
Kepler-595 c,Kepler-595,0.2358
KMT-2018-BLG-1988L b,KMT-2018-BLG-1988L,0.2355
Kepler-1136 b,Kepler-1136,0.2347
Kepler-1954 b,Kepler-1954,0.2346
Kepler-837 b,Kepler-837,0.2344
HD 106252 b,HD 106252,0.2331
Kepler-1120 b,Kepler-1120,0.2314
Kepler-1868 b,Kepler-1868,0.2311
HD 133131 B b,HD 133131 B,0.2309
K2-45 b,K2-45,0.2304
Kepler-141 c,Kepler-141,0.2304
GJ 179 b,GJ 179,0.2292
Kepler-778 b,Kepler-778,0.229
Kepler-241 b,Kepler-241,0.2289
KMT-2017-BLG-1194L b,KMT-2017-BLG-1194L,0.2285
HD 133131 A b,HD 133131 A,0.2283
BD-13 2130 b,BD-13 2130,0.2281
KMT-2021-BLG-1391L b,KMT-2021-BLG-1391L,0.228
Kepler-1384 b,Kepler-1384,0.2274
Kepler-1526 b,Kepler-1526,0.2271
Kepler-1329 b,Kepler-1329,0.2271
LkCa 15 c,LkCa 15,0.2269
HD 48948 c,HD 48948,0.2269
Kepler-1259 b,Kepler-1259,0.2258
HD 106515 A b,HD 106515 A,0.2258
Kepler-1150 b,Kepler-1150,0.2257
Kepler-1558 b,Kepler-1558,0.2253
Kepler-749 b,Kepler-749,0.2253
Kepler-1358 b,Kepler-1358,0.225
KMT-2021-BLG-1689L b,KMT-2021-BLG-1689L,0.2249
Kepler-1903 b,Kepler-1903,0.224
Kepler-1007 b,Kepler-1007,0.2238
Kepler-241 c,Kepler-241,0.2235
Kepler-1048 b,Kepler-1048,0.2235
Kepler-1953 b,Kepler-1953,0.2233
BD-08 2823 b,BD-08 2823,0.223
Kepler-390 c,Kepler-390,0.2226
Kepler-1722 b,Kepler-1722,0.2224
OGLE-2013-BLG-0341L B b,OGLE-2013-BLG-0341L B,0.2221
Kepler-210 b,Kepler-210,0.2219
Kepler-1200 b,Kepler-1200,0.2212
Kepler-304 c,Kepler-304,0.2206
K2-118 b,K2-118,0.2204
KOI-4978 b,KOI-4978,0.2201
Kepler-169 b,Kepler-169,0.2201
Kepler-169 c,Kepler-169,0.2196
Kepler-169 d,Kepler-169,0.2192
Kepler-1423 b,Kepler-1423,0.2183
Kepler-1477 b,Kepler-1477,0.2175
Kepler-1321 d,Kepler-1321,0.2168
Kepler-174 d,Kepler-174,0.2161
Kepler-970 b,Kepler-970,0.2153
KMT-2019-BLG-1367L b,KMT-2019-BLG-1367L,0.2152
KMT-2017-BLG-0849L b,KMT-2017-BLG-0849L,0.2146
TOI-1739 b,TOI-1739,0.2143
Kepler-1723 b,Kepler-1723,0.2141
EPIC 201841433 b,EPIC 201841433,0.2134
BD+20 274 b,BD+20 274,0.2126
Kepler-935 b,Kepler-935,0.2126
Oph 11 b,Oph 11,0.2125
Kepler-892 b,Kepler-892,0.2117
HD 191939 f,HD 191939,0.2104
GJ 96 b,GJ 96,0.2098
HD 102365 b,HD 102365,0.2089
K2-398 b,K2-398,0.2088
Kepler-1807 b,Kepler-1807,0.2087
Kepler-992 b,Kepler-992,0.2086
HD 4208 b,HD 4208,0.2082
Kepler-1167 b,Kepler-1167,0.2065
Kepler-734 b,Kepler-734,0.2065
Kepler-390 b,Kepler-390,0.2057
Kepler-1751 b,Kepler-1751,0.2056
EPIC 201757695.02,EPIC 201757695,0.2054
Kepler-842 b,Kepler-842,0.2054
Kepler-1318 b,Kepler-1318,0.2053
Kepler-1553 b,Kepler-1553,0.2051
Kepler-1086 b,Kepler-1086,0.205
Kepler-518 b,Kepler-518,0.2049
Kepler-1170 b,Kepler-1170,0.2047
Kepler-1242 b,Kepler-1242,0.2046
Kepler-1192 b,Kepler-1192,0.2037
KMT-2024-BLG-2059L b,KMT-2024-BLG-2059L,0.2027
Kepler-240 b,Kepler-240,0.202
TOI-2545 b,TOI-2545,0.2019
EPIC 206024342 d,EPIC 206024342,0.2019
Kepler-1361 b,Kepler-1361,0.2017
MOA-2022-BLG-249L b,MOA-2022-BLG-249L,0.2005
Kepler-1143 b,Kepler-1143,0.2002
Kepler-271 d,Kepler-271,0.2
OGLE-2017-BLG-0448L b,OGLE-2017-BLG-0448L,0.1998
Kepler-159 c,Kepler-159,0.1997
Kepler-271 c,Kepler-271,0.1997
K2-229 b,K2-229,0.1995
Kepler-306 b,Kepler-306,0.199
Kepler-1667 b,Kepler-1667,0.1989
OGLE-2017-BLG-1806L b,OGLE-2017-BLG-1806L,0.1987
Kepler-1414 b,Kepler-1414,0.1978
Kepler-1759 b,Kepler-1759,0.1971
MOA-2013-BLG-605L b,MOA-2013-BLG-605L,0.1968
KMT-2017-BLG-0428L b,KMT-2017-BLG-0428L,0.1965
Kepler-1694 b,Kepler-1694,0.1963
Kepler-1878 b,Kepler-1878,0.1962
Kepler-174 b,Kepler-174,0.1962
Kepler-97 b,Kepler-97,0.1959
Kepler-1470 b,Kepler-1470,0.1958
Kepler-443 b,Kepler-443,0.1957
KMT-2019-BLG-0253L b,KMT-2019-BLG-0253L,0.1956
Kepler-1374 b,Kepler-1374,0.1956
Kepler-1461 b,Kepler-1461,0.1951
HD 191939 g,HD 191939,0.1948
EPIC 201497682 b,EPIC 201497682,0.1947
Kepler-352 b,Kepler-352,0.1939
Kepler-210 c,Kepler-210,0.1932
OGLE-2018-BLG-0977L b,OGLE-2018-BLG-0977L,0.1931
Kepler-1891 b,Kepler-1891,0.1928
Kepler-1578 b,Kepler-1578,0.1927
HIP 54373 c,HIP 54373,0.1927
Kepler-1566 b,Kepler-1566,0.1922
KMT-2019-BLG-0842L b,KMT-2019-BLG-0842L,0.1918
Kepler-1752 b,Kepler-1752,0.1914
Kepler-1459 b,Kepler-1459,0.191
Kepler-1935 b,Kepler-1935,0.1904
HIP 54373 b,HIP 54373,0.1902
Kepler-1157 b,Kepler-1157,0.1895
Kepler-1086 c,Kepler-1086,0.1887
HD 191939 e,HD 191939,0.1887
OGLE-2017-BLG-1434L b,OGLE-2017-BLG-1434L,0.1883
Kepler-237 c,Kepler-237,0.1873
Kepler-888 b,Kepler-888,0.1872
TOI-784 b,HD 307842,0.187
Kepler-224 b,Kepler-224,0.1867
OGLE-2018-BLG-0383L b,OGLE-2018-BLG-0383L,0.1866
Kepler-271 b,Kepler-271,0.1865
PSR B1257+12 b,PSR B1257+12,0.1862
KMT-2017-BLG-1003L b,KMT-2017-BLG-1003L,0.186
HIP 57274 b,HIP 57274,0.186
Kepler-304 d,Kepler-304,0.1855
Kepler-1748 b,Kepler-1748,0.1853
HS Psc b,HS Psc,0.1851
Kepler-326 d,Kepler-326,0.185
HD 48948 d,HD 48948,0.1849
Kepler-675 b,Kepler-675,0.1828
Kepler-1835 b,Kepler-1835,0.1817
Kepler-662 b,Kepler-662,0.1811
Kepler-436 b,Kepler-436,0.1811
Kepler-124 c,Kepler-124,0.1804
Kepler-1022 b,Kepler-1022,0.18
Kepler-1851 b,Kepler-1851,0.1795
Kepler-1766 b,Kepler-1766,0.1793
MOA-2007-BLG-192L b,MOA-2007-BLG-192L,0.1791
Kepler-1266 b,Kepler-1266,0.179
HD 167677 b,HD 167677,0.1787
K2-164 b,K2-164,0.1776
KIC 5437945 b,KIC 5437945,0.1776
KOI-7913 b,KOI-7913 A,0.1768
Kepler-781 b,Kepler-781,0.1764
Kepler-1919 b,Kepler-1919,0.175
EPIC 201833600 c,K2-50,0.175
Kepler-900 b,Kepler-900,0.1749
TOI-2093 b,TOI-2093,0.1748
Kepler-963 c,Kepler-963,0.1746
Kepler-572 b,Kepler-572,0.1743
Kepler-808 b,Kepler-808,0.1735
K2-48 b,K2-48,0.1735
Kepler-1371 b,Kepler-1371,0.1734
Kepler-709 b,Kepler-709,0.1733
KMT-2018-BLG-1025L b,KMT-2018-BLG-1025L,0.1728
Kepler-1536 b,Kepler-1536,0.1725
OGLE-2005-BLG-169L b,OGLE-2005-BLG-169L,0.1725
Kepler-1959 b,Kepler-1959,0.1724
Kepler-876 b,Kepler-876,0.1722
K2-165 b,K2-165,0.1721
Kepler-1053 b,Kepler-1053,0.1718
Kepler-1404 b,Kepler-1404,0.1715
Kepler-1886 b,Kepler-1886,0.1715
Kepler-408 b,Kepler-408,0.171
Kepler-211 c,Kepler-211,0.1708
Kepler-304 b,Kepler-304,0.1707
TOI-1301.01,TOI-1301,0.1706
Kepler-250 b,Kepler-250,0.1706
Kepler-330 b,Kepler-330,0.1704
KOBE-1 b,KOBE-1,0.17
HD 154857 c,HD 154857,0.17
Kepler-1680 b,Kepler-1680,0.1698
Kepler-449 b,Kepler-449,0.1697
Kepler-563 b,Kepler-563,0.1696
Kepler-211 b,Kepler-211,0.1696
KMT-2023-BLG-1431L b,KMT-2023-BLG-1431L,0.1693
Kepler-939 b,Kepler-939,0.1692
Kepler-1191 b,Kepler-1191,0.1691
KMT-2021-BLG-2609L b,KMT-2021-BLG-2609L,0.169
OGLE-2018-BLG-0677L b,OGLE-2018-BLG-0677L,0.169
EPIC 206032309 b,EPIC 206032309,0.1686
TOI-756 c,TOI-756,0.168
Kepler-436 c,Kepler-436,0.1677
KMT-2023-BLG-0416L b,KMT-2023-BLG-0416L,0.1673
Kepler-1039 b,Kepler-1039,0.1673
Kepler-1097 b,Kepler-1097,0.1672
Kepler-338 e,Kepler-338,0.1666
MOA-2009-BLG-266L b,MOA-2009-BLG-266L,0.1664
Kepler-1037 b,Kepler-1037,0.166
HD 154857 b,HD 154857,0.1659
HIP 66074 b,HIP 66074,0.1658
EPIC 201754305 d,K2-16,0.1656
TOI-1180 b,TOI-1180,0.1656
EPIC 206317286 b,EPIC 206317286,0.1654
Kepler-896 b,Kepler-896,0.1653
Kepler-282 d,Kepler-282,0.1649
Kepler-687 b,Kepler-687,0.1649
Kepler-1371 c,Kepler-1371,0.1645
TOI-2141 c,TOI-2141,0.1643
Kepler-1222 b,Kepler-1222,0.1643
Kepler-306 e,Kepler-306,0.1638
Kepler-326 c,Kepler-326,0.1636
OGLE-2017-BLG-0482L b,OGLE-2017-BLG-0482L,0.1634
HD 104985 b,HD 104985,0.1632
Kepler-1114 b,Kepler-1114,0.1629
Kepler-239 c,Kepler-239,0.1628
Kepler-1409 b,Kepler-1409,0.1625
KOI-2513.01,KOI-2513,0.1623
Kepler-665 b,Kepler-665,0.1617
Kepler-352 c,Kepler-352,0.1616
OGLE-2018-BLG-0532L b,OGLE-2018-BLG-0532L,0.1616
EPIC 206317286 c,EPIC 206317286,0.1612
Kepler-531 b,Kepler-531,0.1611
Kepler-716 c,Kepler-716,0.161
Kepler-324 b,Kepler-324,0.1608
Kepler-1108 b,Kepler-1108,0.1602
K2-165 c,K2-165,0.1601
OGLE-2018-BLG-1185L b,OGLE-2018-BLG-1185L,0.1598
Kepler-755 c,Kepler-755,0.1597
Kepler-828 b,Kepler-828,0.1594
Kepler-1197 b,Kepler-1197,0.1592
Kepler-1628 b,Kepler-1628,0.1591
Kepler-1813 b,Kepler-1813,0.1584
Kepler-1521 b,Kepler-1521,0.1584
K2-47 b,K2-47,0.1582
Kepler-239 b,Kepler-239,0.1581
HD 211970 b,HD 211970,0.1579
Kepler-1164 b,Kepler-1164,0.1573
Kepler-1736 b,Kepler-1736,0.1573
Kepler-1379 b,Kepler-1379,0.1572
Kepler-224 e,Kepler-224,0.157
HIP 63242 b,HIP 63242,0.1569
Kepler-1499 b,Kepler-1499,0.1569
Kepler-190 c,Kepler-190,0.1568
PSR B1257+12 d,PSR B1257+12,0.1567
Kepler-1008 b,Kepler-1008,0.1564
Kepler-1134 b,Kepler-1134,0.1563
Kepler-1484 b,Kepler-1484,0.156
Kepler-1026 b,Kepler-1026,0.1558
Kepler-878 b,Kepler-878,0.1555
Kepler-1742 b,Kepler-1742,0.1554
HD 189567 c,HD 189567,0.1552
Kepler-1024 b,Kepler-1024,0.1552
Kepler-1448 b,Kepler-1448,0.1545
Kepler-1130 b,Kepler-1130,0.1544
Kepler-386 b,Kepler-386,0.1543
Kepler-1588 b,Kepler-1588,0.1541
KMT-2021-BLG-0736L b,KMT-2021-BLG-0736L,0.1539
OGLE-2018-BLG-0506L b,OGLE-2018-BLG-0506L,0.1533
HD 189567 b,HD 189567,0.153
HD 136418 b,HD 136418,0.153
Kepler-189 b,Kepler-189,0.153
Kepler-1782 b,Kepler-1782,0.1528
HD 13808 b,HD 13808,0.1527
Kepler-242 c,Kepler-242,0.1521
OGLE-2018-BLG-1126L b,OGLE-2018-BLG-1126L,0.1519
Kepler-357 b,Kepler-357,0.1518
Kepler-1064 b,Kepler-1064,0.1516
Kepler-960 b,Kepler-960,0.1512
Kepler-1692 b,Kepler-1692,0.1509
Kepler-973 b,Kepler-973,0.1507
Kepler-1643 b,Kepler-1643,0.1507
EPIC 201615463 c,K2-166,0.1507
MOA-2012-BLG-505L b,MOA-2012-BLG-505L,0.1505
Kepler-1697 b,Kepler-1697,0.1504
Kepler-1208 b,Kepler-1208,0.1504
Kepler-1492 b,Kepler-1492,0.1503
K2-171 b,K2-171,0.1502
Kepler-1263 b,Kepler-1263,0.1501
Kepler-1241 b,Kepler-1241,0.1499
Kepler-1672 b,Kepler-1672,0.1498
Kepler-1236 b,Kepler-1236,0.1497
Kepler-1579 b,Kepler-1579,0.1495
Kepler-1223 b,Kepler-1223,0.1493
Kepler-1148 b,Kepler-1148,0.1491
KOBE-1 c,KOBE-1,0.149
Kepler-1727 b,Kepler-1727,0.149
Kepler-326 b,Kepler-326,0.1488
EPIC 212499991 b,EPIC 212499991,0.1486
HD 7924 c,HD 7924,0.1481
Kepler-1731 b,Kepler-1731,0.148
OGLE-2017-BLG-1691L b,OGLE-2017-BLG-1691L,0.148
Kepler-1413 b,Kepler-1413,0.1477
Kepler-1392 b,Kepler-1392,0.1476
Kepler-607 b,Kepler-607,0.1474
KIC 9663113 b,KIC 9663113,0.1473
Kepler-1884 b,Kepler-1884,0.1473
Kepler-1529 b,Kepler-1529,0.1471
Kepler-1552 b,Kepler-1552,0.147
Kepler-1173 b,Kepler-1173,0.1469
Kepler-304 e,Kepler-304,0.1467
Kepler-449 c,Kepler-449,0.1466
Kepler-1541 b,Kepler-1541,0.1465
Kepler-1554 b,Kepler-1554,0.1465
Kepler-386 c,Kepler-386,0.1464
Kepler-185 b,Kepler-185,0.1462
Kepler-768 b,Kepler-768,0.1462
Kepler-821 b,Kepler-821,0.146
K2-200 b,K2-200,0.146
Kepler-238 f,Kepler-238,0.1459
KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,0.1458
OGLE-2008-BLG-092L b,OGLE-2008-BLG-092L,0.1455
Kepler-169 e,Kepler-169,0.1452
Kepler-190 b,Kepler-190,0.1451
Kepler-196 d,Kepler-196,0.1451
Kepler-416 b,Kepler-416,0.145
Kepler-1205 b,Kepler-1205,0.1446
Kepler-1343 b,Kepler-1343,0.1445
Kepler-1544 b,Kepler-1544,0.1444
Kepler-941 b,Kepler-941,0.1443
Kepler-247 b,Kepler-247,0.1442
Kepler-328 b,Kepler-328,0.1442
Kepler-240 c,Kepler-240,0.1438
Kepler-1356 b,Kepler-1356,0.1438
Kepler-1324 b,Kepler-1324,0.1437
PSR B1257+12 c,PSR B1257+12,0.1435
K2-395 b,K2-395,0.1434
Kepler-306 d,Kepler-306,0.1428
Kepler-1559 b,Kepler-1559,0.1426
Kepler-306 c,Kepler-306,0.1425
Kepler-1034 b,Kepler-1034,0.1423
Kepler-137 b,Kepler-137,0.1421
Kepler-1489 b,Kepler-1489,0.1417
Kepler-1029 b,Kepler-1029,0.1416
Kepler-1179 b,Kepler-1179,0.1416
Kepler-1532 b,Kepler-1532,0.1416
Kepler-1702 b,Kepler-1702,0.1415
Kepler-169 f,Kepler-169,0.1414
Kepler-305 e,Kepler-305,0.1413
Kepler-1151 b,Kepler-1151,0.1413
Kepler-717 b,Kepler-717,0.1413
Kepler-1296 b,Kepler-1296,0.1411
Kepler-1027 b,Kepler-1027,0.1409
Kepler-944 b,Kepler-944,0.1408
HD 136925 b,HD 136925,0.1405
Kepler-1028 b,Kepler-1028,0.1402
Kepler-738 b,Kepler-738,0.1401
Kepler-916 b,Kepler-916,0.14
OGLE-2015-BLG-1670L b,OGLE-2015-BLG-1670L,0.14
TAP 26 b,TAP 26,0.1399
Kepler-1387 b,Kepler-1387,0.1399
Kepler-1291 b,Kepler-1291,0.1389
MOA-2016-BLG-526L b,MOA-2016-BLG-526L,0.1389
Kepler-600 b,Kepler-600,0.1388
Kepler-1143 c,Kepler-1143,0.1387
Kepler-1481 b,Kepler-1481,0.1385
Kepler-755 b,Kepler-755,0.1384
Kepler-995 b,Kepler-995,0.1383
K2-398 c,K2-398,0.1379
Kepler-246 c,Kepler-246,0.1378
Kepler-1595 b,Kepler-1595,0.1378
Kepler-106 b,Kepler-106,0.1374
Kepler-1787 b,Kepler-1787,0.1373
Kepler-261 c,Kepler-261,0.1372
Kepler-1257 b,Kepler-1257,0.137
OGLE-2007-BLG-368L b,OGLE-2007-BLG-368L,0.1369
Kepler-1644 b,Kepler-1644,0.1362
Kepler-681 b,Kepler-681,0.1356
Kepler-693 b,Kepler-693,0.1355
Kepler-845 b,Kepler-845,0.1352
Kepler-196 b,Kepler-196,0.1347
Kepler-614 b,Kepler-614,0.1345
Kepler-1604 b,Kepler-1604,0.1344
Kepler-877 b,Kepler-877,0.1343
MOA-2011-BLG-028L b,MOA-2011-BLG-028L,0.134
Kepler-113 b,Kepler-113,0.1339
Kepler-1482 b,Kepler-1482,0.1339
K2-376 b,K2-376,0.1339
Kepler-277 b,Kepler-277,0.1338
Kepler-36 b,Kepler-36,0.1333
MOA-2010-BLG-328L b,MOA-2010-BLG-328L,0.1332
KMT-2022-BLG-0440L b,KMT-2022-BLG-0440L,0.1331
Kepler-224 d,Kepler-224,0.1328
Kepler-1253 b,Kepler-1253,0.1328
Kepler-800 b,Kepler-800,0.1328
Kepler-533 b,Kepler-533,0.1327
Kepler-790 b,Kepler-790,0.1327
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,0.1323
Kepler-330 c,Kepler-330,0.132
K2-65 b,K2-65,0.1316
Kepler-432 c,Kepler-432,0.1315
TOI-1798.02,TOI-1798,0.131
Kepler-176 b,Kepler-176,0.1307
Kepler-191 b,Kepler-191,0.1307
Kepler-106 d,Kepler-106,0.1307
Kepler-305 d,Kepler-305,0.1306
Kepler-558 b,Kepler-558,0.1306
Kepler-1844 b,Kepler-1844,0.1305
Kepler-314 b,Kepler-314,0.1303
Kepler-1545 b,Kepler-1545,0.1302
Kepler-152 c,Kepler-152,0.1295
HD 32518 b,HD 32518,0.1293
Kepler-1854 b,Kepler-1854,0.1293
Kepler-161 c,Kepler-161,0.1291
Kepler-260 c,Kepler-260,0.129
Kepler-1030 b,Kepler-1030,0.129
OGLE-2011-BLG-0173L b,OGLE-2011-BLG-0173L,0.1286
Kepler-113 c,Kepler-113,0.1284
MOA-2020-BLG-135L b,MOA-2020-BLG-135L,0.1284
Kepler-191 d,Kepler-191,0.128
WASP-49 b,WASP-49,0.1276
Kepler-1809 b,Kepler-1809,0.1275
V830 Tau b,V830 Tau,0.1268
Kepler-1507 b,Kepler-1507,0.1265
HD 7924 d,HD 7924,0.1265
HD 4917 b,HD 4917,0.1264
Kepler-1605 b,Kepler-1605,0.1263
Kepler-1890 b,Kepler-1890,0.1261
KOI-1599.02,KOI-1599,0.1254
HD 190984 b,HD 190984,0.1252
Kepler-1317 b,Kepler-1317,0.1251
OGLE-2018-BLG-0516L b,OGLE-2018-BLG-0516L,0.125
Kepler-1934 b,Kepler-1934,0.1245
K2-395 c,K2-395,0.1244
K2-59 c,K2-59,0.1243
Kepler-649 b,Kepler-649,0.1241
K2-165 d,K2-165,0.124
EPIC 201238110 b,EPIC 201238110,0.124
Kepler-245 c,Kepler-245,0.1237
Kepler-1963 b,Kepler-1963,0.1235
K2-59 b,K2-59,0.1234
Kepler-161 b,Kepler-161,0.1231
Kepler-1689 b,Kepler-1689,0.1229
HD 87646 b,HD 87646,0.1228
KMT-2024-BLG-1281L b,KMT-2024-BLG-1281L,0.1227
Kepler-196 c,Kepler-196,0.1226
HD 192310 c,HD 192310,0.1221
Kepler-137 c,Kepler-137,0.1218
Kepler-659 b,Kepler-659,0.1218
Kepler-851 b,Kepler-851,0.1218
K2-403 b,K2-403,0.1215
Kepler-601 b,Kepler-601,0.1215
Kepler-1393 b,Kepler-1393,0.1215
Kepler-1865 b,Kepler-1865,0.1213
Kepler-139 d,Kepler-139,0.1211
Kepler-253 b,Kepler-253,0.1207
Kepler-477 b,Kepler-477,0.1205
KMT-2023-BLG-0830L b,KMT-2023-BLG-0830L,0.1205
Kepler-261 b,Kepler-261,0.1204
Kepler-1304 b,Kepler-1304,0.12
Kepler-1095 b,Kepler-1095,0.12
KMT-2017-BLG-1057L b,KMT-2017-BLG-1057L,0.1198
Kepler-1945 b,Kepler-1945,0.1196
Kepler-1899 b,Kepler-1899,0.1195
HD 94834 b,HD 94834,0.1194
Kepler-934 b,Kepler-934,0.1189
HD 222155 b,HD 222155,0.1186
Kepler-1355 b,Kepler-1355,0.1186
Kepler-145 b,Kepler-145,0.1186
HD 13808 c,HD 13808,0.1184
Kepler-1724 b,Kepler-1724,0.1182
Kepler-292 b,Kepler-292,0.1182
Kepler-931 b,Kepler-931,0.118
Kepler-1498 b,Kepler-1498,0.118
KMT-2017-BLG-0165L b,KMT-2017-BLG-0165L,0.118
Kepler-1860 b,Kepler-1860,0.1175
rho CrB d,rho CrB,0.1172
Kepler-195 c,Kepler-195,0.117
Kepler-1583 b,Kepler-1583,0.117
Kepler-1322 b,Kepler-1322,0.1169
AU Mic d,AU Mic,0.1168
WASP-78 b,WASP-78,0.1166
Kepler-859 b,Kepler-859,0.1166
K2-170 b,K2-170,0.1163
TOI-1174 b,TOI-1174,0.116
Kepler-66 b,Kepler-66,0.1158
K2-371 b,K2-371,0.1158
Kepler-114 c,Kepler-114,0.1157
Kepler-322 b,Kepler-322,0.1156
Kepler-242 b,Kepler-242,0.1156
Kepler-181 b,Kepler-181,0.1155
Kepler-399 b,Kepler-399,0.1154
HD 192310 b,HD 192310,0.1152
Kepler-763 b,Kepler-763,0.115
Kepler-967 b,Kepler-967,0.1148
Kepler-285 c,Kepler-285,0.1145
rho CrB c,rho CrB,0.1144
Kepler-357 c,Kepler-357,0.1143
TOI-2211.01,TOI-2211,0.1142
WASP-47 e,WASP-47,0.1141
Kepler-752 b,Kepler-752,0.114
Kepler-1062 b,Kepler-1062,0.1139
Kepler-1540 b,Kepler-1540,0.1139
Kepler-819 b,Kepler-819,0.1139
HD 206610 b,HD 206610,0.1137
Kepler-85 d,Kepler-85,0.1134
Kepler-1281 b,Kepler-1281,0.1133
EPIC 206024342 b,EPIC 206024342,0.1133
Kepler-679 b,Kepler-679,0.1133
OGLE-2018-BLG-0596L b,OGLE-2018-BLG-0596L,0.1132
Kepler-272 b,Kepler-272,0.1128
Kepler-813 b,Kepler-813,0.1128
HD 75784 b,HD 75784,0.1127
KMT-2021-BLG-1253L b,KMT-2021-BLG-1253L,0.1127
K2-227 b,K2-227,0.1122
HD 63765 b,HD 63765,0.1122
rho CrB b,rho CrB,0.1121
TOI-2141 d,TOI-2141,0.1119
HD 131496 b,HD 131496,0.1119
Kepler-1310 b,Kepler-1310,0.1118
HD 114386 b,HD 114386,0.1118
KMT-2019-BLG-0953L b,KMT-2019-BLG-0953L,0.1118
Kepler-229 b,Kepler-229,0.1117
Kepler-511 c,Kepler-511,0.1116
Kepler-85 e,Kepler-85,0.1116
Kepler-879 c,Kepler-879,0.1115
Kepler-1665 b,Kepler-1665,0.1114
Kepler-292 c,Kepler-292,0.1114
Kepler-1247 b,Kepler-1247,0.1113
Kepler-1315 b,Kepler-1315,0.1113
Kepler-1918 b,Kepler-1918,0.1113
Kepler-250 d,Kepler-250,0.1112
Kepler-156 b,Kepler-156,0.1111
Kepler-566 b,Kepler-566,0.1109
Kepler-567 b,Kepler-567,0.1108
Kepler-185 c,Kepler-185,0.1107
KMT-2024-BLG-2242L b,KMT-2024-BLG-2242L,0.1105
Kepler-589 c,Kepler-589,0.1103
HD 96700 d,HD 96700,0.1101
rho CrB e,rho CrB,0.1099
eps CrB b,eps CrB,0.1099
Kepler-634 b,Kepler-634,0.1096
OGLE-2012-BLG-0026L b,OGLE-2012-BLG-0026L,0.1096
Kepler-1596 b,Kepler-1596,0.1092
Kepler-290 b,Kepler-290,0.1092
KMT-2019-BLG-1216L b,KMT-2019-BLG-1216L,0.1092
Kepler-1794 b,Kepler-1794,0.1091
HD 51608 c,HD 51608,0.1091
HD 5319 b,HD 5319,0.109
Kepler-1020 b,Kepler-1020,0.109
Kepler-684 b,Kepler-684,0.1088
KMT-2022-BLG-1818L c,KMT-2022-BLG-1818L,0.1088
Kepler-1793 b,Kepler-1793,0.1087
HD 99706 b,HD 99706,0.1085
HD 108863 b,HD 108863,0.1083
Kepler-243 c,Kepler-243,0.1081
Kepler-721 b,Kepler-721,0.1079
Kepler-647 b,Kepler-647,0.1079
Kepler-282 e,Kepler-282,0.1079
Kepler-547 b,Kepler-547,0.1079
Kepler-1301 b,Kepler-1301,0.1076
OGLE-2012-BLG-0838L b,OGLE-2012-BLG-0838L,0.1075
Kepler-221 b,Kepler-221,0.1075
Kepler-775 b,Kepler-775,0.1074
Kepler-156 c,Kepler-156,0.1073
Kepler-149 c,Kepler-149,0.1072
Kepler-1270 b,Kepler-1270,0.1072
