planet_name,host_star_name,habitability_prob
Kepler-444 b,Kepler-444,0.8766
Kepler-369 b,Kepler-369,0.8765
TOI-700 d,TOI-700,0.8751
TOI-1278 b,TOI-1278,0.8748
HD 285968 b,HD 285968,0.8744
TOI-1450 A c,TOI-1450 A,0.8726
K2-89 b,K2-89,0.8718
Kepler-369 c,Kepler-369,0.8696
TOI-1266 d,TOI-1266,0.8687
HD 181720 b,HD 181720,0.8686
K2-91 b,K2-91,0.8651
HD 37124 d,HD 37124,0.865
Kepler-444 f,Kepler-444,0.8646
Kepler-249 d,Kepler-249,0.8646
Kepler-844 b,Kepler-844,0.864
GJ 3341 b,GJ 3341,0.8627
GJ 393 b,GJ 393,0.8627
Kepler-249 c,Kepler-249,0.8621
Kepler-444 c,Kepler-444,0.8615
HD 220074 b,HD 220074,0.8597
Wolf 1069 b,Wolf 1069,0.8597
K2-18 c,K2-18,0.8595
K2-413 c,K2-413,0.8591
GJ 3998 d,GJ 3998,0.8587
TOI-1224 c,TOI-1224,0.8567
TOI-700 c,TOI-700,0.8559
GJ 3998 c,GJ 3998,0.8545
Kepler-125 c,Kepler-125,0.8532
GJ 3929 c,GJ 3929,0.853
LSPM J2116+0234 b,LSPM J2116+0234,0.8518
Kepler-225 b,Kepler-225,0.8515
Kepler-138 e,Kepler-138,0.851
Kepler-1850 b,Kepler-1850,0.8508
GJ 9773 b,GJ 9773,0.8506
GJ 3998 b,GJ 3998,0.8497
TOI-1227 b,TOI-1227,0.8494
Kepler-54 c,Kepler-54,0.849
Kepler-444 d,Kepler-444,0.8478
HD 37124 c,HD 37124,0.8469
Kepler-444 e,Kepler-444,0.8446
GJ 685 b,GJ 685,0.8436
GJ 27.1 b,GJ 27.1,0.8422
Kepler-1075 b,Kepler-1075,0.841
HD 37124 b,HD 37124,0.8409
LHS 1815 b,LHS 1815,0.8369
K2-394 b,K2-394,0.8357
HD 240237 b,HD 240237,0.8335
Kepler-505 b,Kepler-505,0.8273
Kepler-327 c,Kepler-327,0.8257
K2-400 b,K2-400,0.825
GJ 514 b,GJ 514,0.8242
HD 167768 b,HD 167768,0.8239
Kepler-1749 b,Kepler-1749,0.8235
HD 6434 b,HD 6434,0.8214
HD 102272 b,HD 102272,0.8182
Kepler-777 b,Kepler-777,0.8169
CD Cet b,CD Cet,0.8132
K2-137 b,K2-137,0.8131
GJ 536 b,GJ 536,0.812
K2-381 b,K2-381,0.8105
GJ 720 A b,GJ 720 A,0.8092
Kepler-327 b,Kepler-327,0.8087
HD 155358 b,HD 155358,0.808
Kepler-225 c,Kepler-225,0.805
Kepler-353 b,Kepler-353,0.8044
