planet_name,host_star_name,radius_earth,pl_radj,mass_earth,pl_massj,orbital_period,semimajor_axis,eq_temp_k,density,star_temp_k,star_luminosity,star_metallicity,star_spectype,habitability_score,stellar_compatibility,orbital_stability,star_A,star_B,star_F,star_G,star_K,star_M,star_Unknown,radius_earth_scaled,mass_earth_scaled,orbital_period_scaled,semimajor_axis_scaled,eq_temp_k_scaled,density_scaled,star_temp_k_scaled,star_luminosity_scaled,star_metallicity_scaled,habitable_binary,habitability_probability,habitability_rank
Kepler-1652 b,Kepler-1652,1.12,0.09991988,196.050555,,38.0972378,0.1576,229.0,1.33,3482.0,-0.02687,-0.1,G0 V,0.9217930270882256,1.0,1.9464992151332472,False,False,False,True,False,False,False,-1.0483870967741933,0.0,0.8844057851480355,0.2689428496444505,-1.6487252124645893,0.0,-2.2914957615531857,0.0,-0.380952380952381,1,0.999843,14
TOI-700 d,TOI-700,1.144,0.10206084,196.050555,,37.42475,0.1633,268.8,1.33,3461.0,-1.63451,-0.07,G0 V,0.9621462777968456,1.0,1.9617078028552184,False,False,False,True,False,False,False,-1.029032258064516,0.0,0.8623860169358133,0.2974367946811302,-1.5359773371104817,0.0,-2.314465408805032,-1.60764,-0.2380952380952381,1,0.99980825,15
Kepler-1126 c,Kepler-1126,1.54,0.13738983,196.050555,,199.664537,0.6541,306.0,1.33,6106.0,-0.02687,-0.5,G0 V,0.9188957018134852,1.0,4.879771377937187,False,False,False,True,False,False,False,-0.7096774193548385,0.0,6.174724031900984,2.7509154304710246,-1.4305949008498584,0.0,0.5786163522012578,0.0,-2.2857142857142856,1,0.9997929,16
TRAPPIST-1 e,TRAPPIST-1,0.918,0.08189847,0.62,0.00195073,6.099615,0.02817,251.3,4.4,2559.0,-3.28067,0.04,G0 V,0.9510790500265532,1.0,0.1585633478572761,False,False,False,True,False,False,False,-1.2112903225806448,-195.430555,-0.1633161770914509,-0.378069660197208,-1.5855524079320114,3.0700000000000003,-3.3010664479081213,-3.2538,0.2857142857142857,1,0.9997204,17
Gliese 12 b,Gliese 12,0.9,0.08029276,10.0,0.03146352,12.76142,0.067,315.0,1.33,3253.0,-2.13077,-0.29,M4 V,0.9608689383142672,0.5,0.6178928577511592,False,False,False,False,False,True,False,-1.225806451612903,-186.050555,0.0548162588799119,-0.1839609083069847,-1.405099150141643,0.0,-2.5419742958709324,-2.1039,-1.2857142857142856,1,0.9996878,18
TRAPPIST-1 d,TRAPPIST-1,0.804,0.0717282,0.388,0.00122078,4.049219,0.0223,286.0,1.33,2566.0,-3.25727,0.052,M8.0 V,0.965946612225092,0.5,0.08645067154871,False,False,False,False,False,True,False,-1.303225806451613,-195.662555,-0.2304538183442252,-0.4074134246472624,-1.4872521246458923,0.0,-3.293409898824173,-3.2304,0.3428571428571428,1,0.9994868,19
Kepler-54 d,Kepler-54,1.38,0.12311557,196.050555,,20.99589959,0.1175,329.0,1.33,3726.0,-0.02687,-0.12,G0 V,0.9172602676617702,1.0,1.2432949167107374,False,False,False,True,False,False,False,-0.8387096774193548,0.0,0.3244439486611604,0.0684854468425459,-1.3654390934844192,0.0,-2.0246103363412637,0.0,-0.4761904761904761,1,0.99932575,20
Kepler-438 b,Kepler-438,0.97,0.08653775,196.050555,,35.2330694,0.1729,288.0,1.33,3749.0,-0.02687,0.16,G0 V,0.9956360624115504,1.0,1.9589388626020643,False,False,False,True,False,False,False,-1.1693548387096773,0.0,0.7906221889418719,0.3454265968481697,-1.481586402266289,0.0,-1.9994531036368608,0.0,0.8571428571428571,1,0.99928564,21
Kepler-1582 b,Kepler-1582,0.77,0.06869492,196.050555,,4.83817712,0.0285,321.0,1.33,3089.0,-0.02687,-0.02,G0 V,0.93288218939908,1.0,0.1291739546961694,False,False,False,True,False,False,False,-1.3306451612903225,0.0,-0.2046203758170142,-0.3764200107477161,-1.388101983002833,0.0,-2.721356302980585,0.0,0.0,1,0.99885845,22
Kepler-440 b,Kepler-440,1.47,0.13114484,196.050555,,101.1114976,0.334,201.0,1.33,3813.0,-0.02687,-0.3,G0 V,0.8479214383554515,1.0,3.54879061401754,False,False,False,True,False,False,False,-0.7661290322580644,0.0,2.9477285619489666,1.1507554644638014,-1.728045325779037,0.0,-1.929450369155045,0.0,-1.3333333333333333,1,0.99798536,23
TRAPPIST-1 f,TRAPPIST-1,1.045,0.09322866,0.68,0.00213951,9.20669,0.0371,219.0,3.3,2559.0,-3.28067,0.04,G0 V,0.9188726935086404,1.0,0.2938392274593993,False,False,False,True,False,False,False,-1.1088709677419353,-195.370555,-0.0615789094146392,-0.3334291463064099,-1.6770538243626063,1.97,-3.3010664479081213,-3.2538,0.2857142857142857,1,0.99640024,24
LHS 1140 b,LHS 1140,1.43,0.12757605,6.65,0.02092314,24.73712,0.0875,230.0,12.5,3131.0,-2.52564,-0.24,M4.5 V,0.8877788190856383,0.5,1.1519944332216472,False,False,False,False,False,True,False,-0.7983870967741934,-189.400555,0.4469455111564722,-0.0814826849294525,-1.6458923512747876,11.17,-2.675417008476894,-2.49877,-1.0476190476190477,1,0.9956006,25
Kepler-62 f,Kepler-62,1.41,0.126,35.0,0.11,267.291,0.718,208.0,1.33,4925.0,-0.678,-0.37,K2 V,0.8630797489941449,0.9,5.262249356001042,False,False,False,False,True,False,False,-0.8145161290322579,-161.050555,8.389067608501806,3.0703475511453813,-1.708215297450425,0.0,-0.7131528575334974,-0.6511300000000001,-1.6666666666666663,1,0.99526215,26
