pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_met,stellar_index,orbital_stability,habitability_score,st_spectype_F,st_spectype_G,st_spectype_K,st_spectype_M,habitable,habitable_class
-2.0653971832948446,-1.206419316948046,-1.4521726660612857,-1.8535910121457604,-0.4092156727411572,3.689299511090597,-0.6550460022943769,1.5380087573604653,-0.10726569117056824,1.3875837950361214,0.0,False,True,False,False,0,0
-2.085332269272449,-1.209116184265196,-1.4521736367660967,-1.8749329811442246,1.9114003000598219,3.988421333565917,-0.6823097802831578,1.3000877627974101,-0.1423798028045745,1.395064718202033,0.002654722638971974,False,True,False,False,0,0
1.1954167690705981,0.32980732617268266,-1.126175129616357,-1.3320808466191874,1.783140034210924,-0.7505229682216458,0.5377442847147839,-2.3282074042891825,0.674023292686075,1.143329035851449,0.16341184307606482,False,True,False,False,0,0
0.880661267858678,0.3910319932733871,-1.126171773509985,-1.3025304280059293,1.5415334869141641,-0.6479669148015362,0.5377442847147839,-2.3282074042891825,0.674023292686075,1.1254904851950351,0.17829188581289673,False,True,False,False,0,0
1.589461824022925,0.6359306616762042,-1.126175298434585,-1.213879172166155,-0.4092156727411572,-0.7953912415929436,1.1307314559707666,-0.18691845322168543,-0.08970863535356512,1.0700962521581239,0.08214677439430634,False,True,False,False,0,0
0.9046884053557718,2.6059397442584573,-0.4992870412270376,-0.3082135646672274,-0.4092156727411572,0.06778887469297855,1.3726974856211964,-0.7222406909885597,-0.40134637610537266,0.3854969786239133,0.18098519569509416,False,True,False,False,0,0
0.895077550356934,2.3349151737207476,-0.49928493099918786,-0.31204417448746463,1.2462365957736803,-0.049723269850897096,1.3726974856211964,-0.7222406909885597,-0.40134637610537266,0.388942896754385,0.18079390885612337,False,True,False,False,0,0
0.9049306273681874,2.319445750156194,-0.49928493099918786,-0.33393337346024815,1.0135784391175404,-0.06040619208215852,1.3726974856211964,-0.7222406909885597,-0.40134637610537266,0.4085642360283017,0.182441387929685,True,False,False,False,0,0
0.712471305379026,0.11092914128766504,-0.5694660447319481,-0.5637699626744779,0.27682760970643294,-0.6394205770165271,0.06914810053261358,0.4078840331859528,0.825452899107728,0.6051075917776314,0.14288113736310198,False,True,False,False,0,0
0.9287155428528642,0.15378640825815812,-0.5694660447319481,-0.5238221745491473,-0.4092156727411572,-0.7109961559659785,0.06914810053261358,0.4078840331859528,0.825452899107728,0.5715418331951327,0.18574550206661067,False,True,False,False,0,0
0.9285097613201924,0.1567893218574598,-0.5694660447319481,-0.5221804846261885,0.3722771098730545,-0.6789473892721942,0.06914810053261358,0.4078840331859528,0.825452899107728,0.5701534673918914,0.18622139730156664,False,True,False,False,0,0
-0.4047830857840912,0.7552338112020872,-0.05999457908034398,0.071016807536251,1.1418387049664382,1.381788309138132,0.5292243540932899,-0.4843196964255045,0.6849964525717029,0.04080833950571244,0.015807567197484596,False,True,False,False,0,0
0.47700535790751386,0.7614412292326478,-0.05999457908034398,0.071016807536251,0.34244914107098523,-0.24201587001360256,0.5292243540932899,-0.4843196964255045,0.6849964525717029,0.04080833950571244,0.1100983754957992,False,True,False,False,0,0
-0.40479058823580355,0.7905229461054823,-0.05999457908034398,0.07484741735648827,-0.4092156727411572,1.4245199980631778,0.5292243540932899,-0.4843196964255045,0.6849964525717029,0.03701939203688917,0.014987802071300883,False,True,False,False,0,0
0.2799828304313502,-0.4370316292636382,0.4958732001649636,0.6620251798014126,-0.4092156727411572,-0.6800156814953205,0.02654844742514355,0.5863247791082442,0.7705870996795962,-0.5635987490564951,0.18840252099592691,False,True,False,False,0,0
0.27901179882405397,-0.42788188083172163,0.4958732001649636,0.6620251798014126,-0.4092156727411572,-0.6479669148015362,0.02654844742514355,0.5863247791082442,0.7705870996795962,-0.5635987490564951,0.18820831467446766,False,True,False,False,0,0
-0.08110588335202254,2.4724929704044696,-0.17271873035333365,-0.19712587988034938,0.9211117358311263,1.8945685762386797,0.17990719861203566,-0.5437999450662683,0.9681039776208794,0.2942045566908698,0.001285549172683842,False,True,False,False,0,0
-0.08042423202504655,2.44205834114698,-0.17271873035333365,-0.08767988501643101,-0.4092156727411572,1.8838856540074187,0.17990719861203566,-0.5437999450662683,0.9681039776208794,0.19134761088157676,6.227317362839103e-06,False,True,False,False,0,0
