sy_dist,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_lum,st_met,habitability_score,stellar_compatibility,orbital_stability,habitable
790.663,3.897131,0.101,2.31,152.0,0.0,88.24,802.0,6090.0,1.65,1.21,0.544,-0.02,516.665,1.0539979231568017,38.585455445544554,0
790.663,3.8971379,0.101,2.31,152.0,0.0,88.24,802.0,6090.0,1.65,1.21,0.544,-0.02,516.665,1.0539979231568017,38.58552376237623,0
213.283,1.74299705,0.101,2.31,152.0,0.0,88.24,802.0,5696.0,0.957,0.96,-0.07917,0.03,517.2881699999999,0.9858082381446868,17.257396534653466,0
213.283,1.74299673,0.101,2.31,152.0,0.0,88.24,802.0,5529.0,0.937741,0.972,-0.13055,-0.04,517.3395499999999,0.9569055036344756,17.257393366336633,0
213.283,1.743,0.101,2.31,152.0,0.0,88.24,802.0,5620.0,0.957,0.96,-0.07917,0.0,517.2881699999999,0.9726548978885428,17.257425742574256,0
213.283,1.742997,0.101,2.31,152.0,0.0,88.24,802.0,5696.0,0.957,0.96,-0.07917,0.03,517.2881699999999,0.9858082381446868,17.257396039603957,0
213.283,1.74299906,0.101,2.31,152.0,0.0,88.24,802.0,5620.0,0.957,0.96,-0.07917,0.0,517.2881699999999,0.9726548978885428,17.257416435643563,0
806.507,2.8505615,0.101,2.31,152.0,0.0,88.24,802.0,5268.0,1.07719,0.9,-0.09414,0.0,517.30314,0.9117341640706127,28.22338118811881,0
768.771,10.300667155,0.101,2.31,152.0,0.0,88.24,802.0,6558.0,1.44,1.41,-0.07917,0.14,517.2881699999999,1.1349948078920042,101.98680351485147,0
576.683,6.7183678,0.101,2.31,152.0,0.0,88.24,802.0,5970.0,0.79,1.08,-0.1549,0.0,517.3639,1.0332294911734163,66.51849306930693,0
882.472,4.0379156,0.101,2.31,152.0,0.0,88.24,802.0,5620.0,0.957,0.96,-0.07917,0.0,517.2881699999999,0.9726548978885428,39.97936237623762,0
645.294,8.8866287,0.101,2.31,152.0,0.0,88.24,802.0,5620.0,0.957,0.96,-0.07917,0.0,517.2881699999999,0.9726548978885428,87.98642277227721,0
159.906,0.8535,0.101,1.528,6.056,0.0,88.24,802.0,5250.0,0.957,0.915,-0.07917,0.0,516.50617,0.9086188992731049,8.45049504950495,0
159.906,0.854,0.101,1.58,4.6,0.0,88.24,802.0,5313.0,0.8389,0.884,-0.07917,0.03,516.55817,0.9195223260643821,8.455445544554454,0
159.906,0.85359163,0.101,1.68135,4.07660518,0.0,88.24,802.0,5275.0,0.83,0.82,-0.07917,0.05,516.6595199999999,0.9129456559363102,8.451402277227723,0
159.906,3.697,0.101,2.31,13.289,0.0,88.24,802.0,5250.0,0.957,0.915,-0.07917,0.0,517.2881699999999,0.9086188992731049,36.603960396039604,0
159.906,8.966,0.101,2.31,17.142,0.0,88.24,802.0,5250.0,0.957,0.915,-0.07917,0.0,517.2881699999999,0.9086188992731049,88.77227722772275,0
412.98,95.272725,0.101,2.31,152.0,0.0,88.24,802.0,5620.0,0.957,0.96,-0.07917,0.0,517.2881699999999,0.9726548978885428,943.294306930693,0
159.259,28.1696,0.101,2.2,152.0,0.0,88.24,802.0,5620.0,0.374,0.96,-0.07917,0.0,517.17817,0.9726548978885428,278.9069306930693,0
159.259,28.1656,0.101,1.87,152.0,0.0,88.24,802.0,5620.0,0.957,0.41,-0.07917,0.0,516.84817,0.9726548978885428,278.86732673267323,0
706.391,0.72091,0.101,1.5,152.0,0.0,88.24,802.0,5633.0,0.94,0.96,-0.07917,-0.053,516.47817,0.9749048113534095,7.137722772277228,0
232.1,0.877214,0.101,1.3,152.0,0.0,88.24,802.0,5820.0,0.93,0.96,-0.07917,-0.01,516.2781699999999,1.0072689511941848,8.68528712871287,0
232.1,0.877183,0.101,1.40575209,152.0,0.0,88.24,802.0,5705.0,0.932487,0.96,-0.07917,-0.01,516.3839220899999,0.9873658705434406,8.684980198019803,0
476.882,3.80464,0.101,1.22,152.0,0.0,88.24,802.0,5620.0,0.957,1.073,-0.07917,0.0,516.19817,0.9726548978885428,37.669702970297024,0
334.967,2.71578,0.101,1.03,152.0,0.0,88.24,802.0,5620.0,0.957,0.67,-0.07917,0.0,516.00817,0.9726548978885428,26.888910891089107,0
257.443,3.96151,0.101,1.0,152.0,0.0,88.24,802.0,5620.0,0.957,0.611,-0.07917,0.0,515.97817,0.9726548978885428,39.22287128712871,0
257.443,3.96165,0.101,1.48,152.0,0.0,88.24,802.0,5620.0,0.634,0.96,-0.07917,0.0,516.45817,0.9726548978885428,39.22425742574257,0
436.488,4.16959,0.101,1.1,152.0,0.0,88.24,802.0,5620.0,0.957,0.802,-0.07917,0.0,516.07817,0.9726548978885428,41.28306930693069,0
436.488,4.16888,0.101,1.41,152.0,0.0,88.24,802.0,5620.0,0.628,0.96,-0.07917,0.0,516.38817,0.9726548978885428,41.27603960396039,0
243.935,8.0468,0.101,1.18,152.0,0.0,88.24,802.0,5620.0,0.957,0.907,-0.07917,0.0,516.1581699999999,0.9726548978885428,79.67128712871286,0
243.935,8.0516,0.101,1.62,152.0,0.0,88.24,802.0,5620.0,0.904,0.96,-0.07917,0.0,516.59817,0.9726548978885428,79.71881188118812,0
369.888,4.50756,0.101,1.7,152.0,0.0,88.24,802.0,5620.0,0.957,0.928,-0.07917,0.0,516.67817,0.9726548978885428,44.62930693069306,0
369.888,4.50717,0.101,1.44,152.0,0.0,88.24,802.0,5620.0,0.823,0.96,-0.07917,0.0,516.41817,0.9726548978885428,44.62544554455446,0
369.888,0.911618,0.101,1.16,152.0,0.0,88.24,802.0,5620.0,0.823,0.96,-0.07917,0.0,516.13817,0.9726548978885428,9.025920792079209,0
369.888,0.9116567,0.101,1.35,152.0,0.0,88.24,802.0,5648.0,0.94,0.96,-0.07917,0.0,516.32817,0.9775008653513326,9.026303960396039,0
369.888,0.911724,0.101,1.4,152.0,0.0,88.24,802.0,5724.0,1.1,0.96,-0.07917,-0.22,516.37817,0.9906542056074766,9.026970297029703,0
369.888,14.6435,0.101,2.52,152.0,0.0,88.24,802.0,5620.0,0.823,0.96,-0.07917,0.0,517.49817,0.9726548978885428,144.98514851485146,0
369.888,14.647531,0.101,2.6,152.0,0.0,88.24,802.0,5724.0,1.1,0.96,-0.07917,-0.22,517.57817,0.9906542056074766,145.0250594059406,0
369.888,14.641541,0.101,2.94,152.0,0.0,88.24,802.0,5648.0,0.94,0.96,-0.07917,0.0,517.91817,0.9775008653513326,144.9657524752475,0
161.365,2.87814,0.101,1.01,152.0,0.0,88.24,802.0,5620.0,0.957,0.221,-0.07917,0.0,515.98817,0.9726548978885428,28.496435643564357,0
451.769,5.29711,0.101,1.62,152.0,0.0,88.24,802.0,5620.0,0.957,0.565,-0.07917,0.0,516.59817,0.9726548978885428,52.446633663366335,0
451.769,5.2986,0.101,1.7,152.0,0.0,88.24,802.0,4114.0,0.5,0.96,-0.07917,0.006,516.67817,0.7120110764970579,52.46138613861386,0
451.769,0.35490972,0.101,1.45,152.0,0.0,88.24,802.0,3893.0,0.57,0.96,-0.07917,0.0,516.42817,0.6737625475943233,3.513957623762376,0
451.769,0.354884,0.101,1.2,152.0,0.0,88.24,802.0,4114.0,0.5,0.96,-0.07917,0.006,516.17817,0.7120110764970579,3.5137029702970293,0
109.888,2.255436,0.101,1.0,152.0,0.0,88.24,802.0,3297.0,0.25,0.96,-0.07917,-0.33,515.97817,0.5706126687435099,22.331049504950492,0
109.888,2.25558,0.101,2.0,152.0,0.0,88.24,802.0,5620.0,0.367,0.96,-0.07917,0.0,516.97817,0.9726548978885428,22.33247524752475,0
314.35,1.58316,0.101,1.22,152.0,0.0,88.24,802.0,5620.0,0.669,0.96,-0.07917,0.0,516.19817,0.9726548978885428,15.674851485148514,0
314.35,1.58252,0.101,0.96,152.0,0.0,88.24,802.0,5620.0,0.957,0.711,-0.07917,0.0,516.0181699999999,0.9726548978885428,15.668514851485147,0
314.35,17.501662,0.101,2.63,152.0,0.0,88.24,802.0,4749.0,0.73,0.96,-0.07917,0.0,517.60817,0.8219106957424714,173.28378217821782,0
314.35,17.515472,0.101,2.094,152.0,0.0,88.24,802.0,4752.0,0.758,0.832,-0.07917,0.019,517.07217,0.822429906542056,173.42051485148514,0
314.35,17.5125,0.101,2.15,152.0,0.0,88.24,802.0,5620.0,0.669,0.96,-0.07917,0.0,517.12817,0.9726548978885428,173.39108910891088,0
186.197,21.169619,0.101,2.2,152.0,0.18,88.24,802.0,3880.0,0.59,0.61,-1.15304,0.14,518.2520400000001,0.6715126341294566,209.60018811881187,0
186.197,21.1595,0.101,2.31,152.0,0.0,88.24,802.0,3811.0,0.597044,0.585671,-1.16914,0.0,518.3781399999999,0.6595707857390101,209.5,0
186.197,21.17623917,0.101,2.31,152.0,0.0,88.24,802.0,3811.0,0.597044,0.585671,-1.16914,0.0,518.3781399999999,0.6595707857390101,209.66573435643562,0
186.197,21.1686,0.101,2.18,152.0,0.0,88.24,802.0,5620.0,0.642,0.96,-0.07917,0.0,517.1581699999999,0.9726548978885428,209.590099009901,0
181.69,19.4921498,0.101,2.31,152.0,0.0,88.24,802.0,6025.0,1.38,1.18,-0.07917,0.1,517.2881699999999,1.042748355832468,192.9915821782178,0
181.69,19.491,0.101,2.31,152.0,0.0,88.24,802.0,6128.0,1.3636,1.158,0.37334,0.0,516.83566,1.0605745932848736,192.98019801980197,0
181.69,19.50735025,0.101,2.31,152.0,0.0,88.24,802.0,6128.0,1.3636,1.158,0.37334,0.0,516.83566,1.0605745932848736,193.1420816831683,0
418.395,2.28896,0.101,1.83,152.0,0.0,88.24,802.0,5620.0,0.749,0.96,-0.07917,0.0,516.80817,0.9726548978885428,22.662970297029702,0
418.395,2.28943,0.101,1.323,152.0,0.0,88.24,802.0,5620.0,0.957,0.829,-0.07917,0.0,516.30117,0.9726548978885428,22.667623762376234,0
418.395,5.213,0.101,2.31,152.0,0.0,88.24,802.0,5008.0,0.776343,0.831,-0.46654,0.0,517.67554,0.866735894773278,51.61386138613861,0
418.395,5.21378,0.101,2.29,152.0,0.0,88.24,802.0,5620.0,0.749,0.96,-0.07917,0.0,517.2681699999999,0.9726548978885428,51.621584158415835,0
611.804,18.0971,0.101,2.21,152.0,0.0,88.24,802.0,5620.0,1.2247,0.96,-0.07917,0.0,517.18817,0.9726548978885428,179.17920792079207,0
611.804,18.0983,0.101,2.17,152.0,0.0,88.24,802.0,5620.0,0.957,1.106,-0.07917,0.0,517.1481699999999,0.9726548978885428,179.19108910891086,0
283.29,34.885,0.101,1.6,152.0,0.0,88.24,802.0,5620.0,0.957,0.912,-0.07917,0.0,516.57817,0.9726548978885428,345.39603960396033,0
320.07,15.2841,0.101,1.12,152.0,0.0,88.24,802.0,5620.0,0.957,0.95,-0.07917,0.0,516.09817,0.9726548978885428,151.3277227722772,0
320.07,15.2841,0.101,1.39,152.0,0.0,88.24,802.0,5620.0,0.9757,0.96,-0.07917,0.0,516.36817,0.9726548978885428,151.3277227722772,0
320.07,23.226,0.101,2.31,152.0,0.0,88.24,802.0,6055.0,0.94987,1.13,0.03848,0.0,517.1705199999999,1.0479404638283143,229.96039603960395,0
320.07,23.2259,0.101,2.31,152.0,0.0,88.24,802.0,5620.0,0.9757,0.96,-0.07917,0.0,517.2881699999999,0.9726548978885428,229.95940594059402,0
320.07,23.226001,0.101,2.24459533,152.0,0.0,88.24,802.0,5928.0,0.952744,0.96,-0.07917,-0.21,517.22276533,1.0259605399792315,229.96040594059406,0
320.07,23.226,0.101,2.3,152.0,0.0,88.24,802.0,5620.0,0.95,0.96,-0.07917,0.0,517.2781699999999,0.9726548978885428,229.96039603960395,0
320.07,23.24110566,0.101,2.31,152.0,0.0,88.24,802.0,6055.0,0.94987,1.13,0.03848,0.0,517.1705199999999,1.0479404638283143,230.10995702970294,0
561.929,0.578657,0.101,1.2,152.0,0.0,88.24,802.0,5765.0,0.93,0.96,-0.07917,-0.39,516.17817,0.9977500865351333,5.729277227722772,0
561.929,11.81387,0.101,2.67,152.0,0.0,88.24,802.0,5620.0,0.948,0.96,-0.07917,0.0,517.6481699999999,0.9726548978885428,116.96900990099009,0
561.929,11.811437,0.101,2.3,152.0,0.0,88.24,802.0,5765.0,0.93,0.96,-0.07917,-0.39,517.2781699999999,0.9977500865351333,116.9449207920792,0
336.25,13.60697954,0.101,2.31,152.0,0.0,88.24,802.0,4581.0,0.669035,0.724,-0.75057,0.0,517.95957,0.7928348909657321,134.72256970297028,0
336.25,13.603,0.101,2.31,152.0,0.0,88.24,802.0,4581.0,0.669035,0.724,-0.75057,0.0,517.95957,0.7928348909657321,134.68316831683168,0
624.512,0.762406,0.101,0.99,152.0,0.0,88.24,802.0,5620.0,0.89,0.96,-0.07917,0.28,515.98817,0.9726548978885428,7.548574257425742,0
496.289,0.70531,0.101,1.48,152.0,0.0,88.24,802.0,5620.0,0.957,0.94,-0.07917,0.0,516.45817,0.9726548978885428,6.983267326732673,0
496.289,0.705386,0.101,1.73,152.0,0.0,88.24,802.0,5620.0,1.013,0.96,-0.07917,0.0,516.70817,0.9726548978885428,6.984019801980197,0
496.289,0.70531,0.101,1.6,152.0,0.0,88.24,802.0,5499.0,1.0,0.96,-0.07917,-0.23,516.57817,0.9517133956386293,6.983267326732673,0
244.59,0.571299,0.101,1.66855539,152.0,0.0,88.24,802.0,5590.0,0.906429,0.966939,-0.07917,0.08,516.64672539,0.9674627898926964,5.656425742574257,0
