pl_radj,pl_massj,stellar_compatibility,orbital_stability,star_A,star_B,star_F,star_G,star_K,star_M,star_Unknown,radius_earth_scaled,mass_earth_scaled,orbital_period_scaled,semimajor_axis_scaled,eq_temp_k_scaled,density_scaled,star_temp_k_scaled,star_luminosity_scaled,star_metallicity_scaled
0.47660235,0.09848081,1.0,0.1567086753652476,0,0,0,1,0,0,0,2.356634354838709,-164.750555,-0.2395929901555945,-0.2939375382731169,0.3744759206798868,-0.2000000000000001,-0.5676784249384742,-0.39107,0.719047619047619
,,0.9,8.344919544872843,0,0,0,0,1,0,0,0.0,0.0,48.15009036313808,13.678093405151404,0.0,0.0,-0.8247197156138911,1.16675,0.380952380952381
0.19448691,,1.0,0.0556563076876072,0,0,0,1,0,0,0,-0.1935483870967739,0.0,-0.3005716117900572,-0.3689216041591162,2.9830028328611897,0.0,-0.0426579163248564,0.0,0.0
,30.0,0.5,8.655951575334148,0,0,0,0,0,1,0,0.0,9338.801655,0.0,2588.930852193909,2.235127478753541,0.0,0.0,0.0,0.0
,5.5,1.0,0.7658695990709582,0,0,0,1,0,0,0,0.0,1552.014445,0.0,0.0,0.8413597733711048,0.0,2.2072737216297518,0.8481099999999999,0.0
0.964,0.412,1.0,1.5259942139262277,0,0,0,1,0,0,0,6.766129032258064,-65.050555,0.3759447073492486,0.2784408313233438,-0.3087818696883853,-0.7570000000000001,0.1564123598578069,0.03802,1.2857142857142858
0.21657951,0.03146352,1.0,0.27406021478524,0,0,0,1,0,0,0,0.0061577177419356,-186.050555,-0.1909753086108438,-0.2189534723871177,0.7487535410764871,2.49,0.3904840032813781,0.08225,-0.1428571428571428
0.39967883,0.09722179,1.0,0.3741901255639468,0,0,0,1,0,0,0,1.6612903225806452,-165.150555,-0.1413222044005714,-0.1838609295524701,0.2577903682719547,0.54,-0.3598578069455838,0.0,0.7142857142857143
0.44076962,0.12711262,1.0,0.3103776303039081,0,0,0,1,0,0,0,2.0327243467741933,-155.650555,-0.1762573232232848,-0.1999575090293313,1.1388668555240793,0.51,0.0404703308722997,0.35197,1.0714285714285714
0.09991988,,1.0,1.4462437916648152,0,0,0,1,0,0,0,-1.0483870967741933,0.0,0.3768568694657194,0.1994576152567578,-0.5410764872521246,0.0,0.0087503418102269,0.0,-1.7142857142857142
0.20430012,,1.0,1.8874301355644527,0,0,0,1,0,0,0,-0.1048387096774192,0.0,0.7059740645040317,0.3389279778047164,-1.3427762039660056,0.0,-1.6767842493847416,0.0,0.6666666666666666
0.28102466,,1.0,2.0120804651552966,0,0,0,1,0,0,0,0.5887096774193548,0.0,0.6809662561308775,0.4968944099378881,-0.5835694050991501,0.0,0.5742411812961444,0.0,0.0
0.3523954,,1.0,1.011880020942047,0,0,0,1,0,0,0,1.2338709677419355,0.0,0.1211376968317104,0.0729844907957059,-0.2039660056657223,0.0,0.2625102543068088,0.0,0.0
0.11865465,,1.0,0.0165179248373111,0,0,0,1,0,0,0,-0.8790322580645159,0.0,-0.3259417460599077,-0.4454053513628354,0.0849858356940509,0.0,-2.3418102269619907,0.0,0.0
0.16504623,,1.0,1.8870136223735217,0,0,0,1,0,0,0,-0.4596774193548385,0.0,0.6538916921202766,0.3824187360185959,-0.9376770538243626,0.0,-0.1990702761826633,0.0,-1.523809523809524
0.09456703,,1.0,0.7682214396157846,0,0,0,1,0,0,0,-1.0967741935483868,0.0,0.0177384968643137,-0.0219953259932264,0.2152974504249291,0.0,0.5283018867924528,0.0,-1.142857142857143
1.3,0.667,1.0,0.2258680253619753,0,0,0,1,0,0,0,9.79973783064516,15.940992469999998,-0.2043864911845083,-0.257445292875264,1.0368271954674222,-0.95,-0.0295324036095159,0.0,1.761904761904762
0.25961326,,1.0,3.46356271746461,0,0,0,1,0,0,0,0.3951612903225807,0.0,2.4691225290043235,1.2687303947911066,-1.257790368271955,0.0,-0.3554826360404703,0.0,0.2857142857142857
,,0.5,0.0237503063202129,0,0,0,0,0,1,0,0.0,0.0,-0.3230920580395307,-0.420410662734169,0.0,0.0,-2.0344544708777685,-1.31992,-1.3333333333333333
0.20697689,,1.0,1.7009288477275055,0,0,0,1,0,0,0,-0.0806451612903226,0.0,0.5372686699359472,0.2954372195908368,-0.6260623229461756,0.0,0.0875034181022696,0.0,-2.1904761904761902
0.04460709,,1.0,0.1367354251618725,0,0,0,1,0,0,0,-1.5483870967741933,0.0,-0.2451590952299519,-0.31543297049377,0.3597733711048159,0.0,-0.5753349740224227,0.0,-1.619047619047619
0.31938676,0.04184648,1.0,0.6613565913034356,0,0,0,1,0,0,0,0.935483870967742,-182.750555,-0.067331330320302,0.0,0.2096317280453258,0.1099999999999998,-0.1104730653541154,0.0,1.8571428571428568
0.13738983,0.01123248,1.0,0.5574440989535827,0,0,0,1,0,0,0,-0.7096774193548385,-192.480555,-0.1276502179077721,0.0,0.5609065155807366,4.293888,-0.3281378178835111,-0.23009,-0.4285714285714285
0.19359477,,1.0,1.7961563008980828,0,0,0,1,0,0,0,-0.2016129032258064,0.0,0.4082081069477283,0.5478835747403676,1.614730878186969,0.0,4.362045392398141,0.0,0.4285714285714286
0.20697689,,1.0,0.9568055071642788,0,0,0,1,0,0,0,-0.0806451612903226,0.0,0.1146686885893082,0.0304935201269729,-0.6147308781869688,0.0,-0.475799835931091,0.0,-0.1904761904761904
,15.49,1.0,2.32263050248291,0,0,0,1,0,0,0,0.0,4726.949445,0.0,3.6302285764275086,0.0,0.0,0.0,0.0,0.0
1.664,8.0,0.9,8.205168159831523,0,0,0,0,1,0,0,13.08629032258064,2346.949445,0.0,1649.1305597560518,2.801699716713881,0.0,-1.6592835657642877,0.0,0.0
1.13,0.31,1.0,0.2226161362553359,0,0,0,1,0,0,0,8.263040322580643,-97.523255,-0.2145975949357039,-0.2439481610157841,1.3569405099150142,-1.04,0.3215750615258408,0.0,0.5714285714285715
0.1623698,,1.0,1.093039772736902,0,0,0,1,0,0,0,-0.4838709677419353,0.0,0.1611049901099808,0.1004786482872389,-0.1246458923512747,0.0,0.4736122504785343,0.0,-0.6666666666666667
,,1.0,6.132773118921943,0,0,0,1,0,0,0,0.0,0.0,11.396875167548254,5.879750553007487,0.0,0.0,-0.7251845775225595,1.41604,-0.2380952380952381
0.16950694,,1.0,1.0173003127299751,0,0,0,1,0,0,0,-0.4193548387096774,0.0,0.1244488090344313,0.0739842783408525,0.0566572237960339,0.0,0.6190866830735575,0.0,-0.8571428571428573
,,1.0,0.1858362065036955,0,0,0,1,0,0,0,0.0,0.0,-0.2292985863202459,-0.2689428496444505,0.0,0.0,0.0875034181022696,0.0,1.238095238095238
0.24801541,,1.0,0.3423550949702942,0,0,0,1,0,0,0,0.2903225806451611,0.0,-0.1676022523067517,-0.1769623954909581,1.056657223796034,0.0,0.992070002734482,0.0,-0.2857142857142857
0.18913406,,1.0,3.044970918747439,0,0,0,1,0,0,0,-0.2419354838709675,0.0,1.692759179577358,1.074271717260082,-0.8158640226628895,0.0,0.7612797374897456,0.0,-0.1904761904761904
,,1.0,5.736875622439267,0,0,0,1,0,0,0,0.0,0.0,10.3017606571322,4.225102165789769,0.0,0.0,0.1369975389663658,0.0,1.4142857142857146
0.1900262,,1.0,2.3687438934542087,0,0,0,1,0,0,0,-0.2338709677419354,0.0,1.17027305750575,0.514890585750528,-1.5155807365439091,0.0,-1.8572600492206728,0.0,-0.4761904761904761
,,1.0,5.454327459451983,0,0,0,1,0,0,0,0.0,0.0,8.4993812812658,3.780196708199507,0.0,0.0,0.3237626469783976,0.0,1.1428571428571428
