model,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.9860655737704918,0.2,0.8,0.32,0.9680658436213992
DecisionTree_depth5,0.9983606557377049,0.7142857142857143,1.0,0.8333333333333334,0.9991769547325102
